iShares ESG MSCI USA Leaders ETF
Inception Date,"May 07, 2019"
Fund Holdings as of,"Nov 27, 2019"
Total Net Assets,"1,694,591,231.98"
Shares Outstanding,"31,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BKNG","BOOKING HOLDINGS INC","Equity","0.59","1,906.45","5,282.00","10,069,868.90","10,069,868.90","Consumer Discretionary","BDRXDB4","US09857L1089","NASDAQ"
"CI","CIGNA CORP","Equity","0.55","200.03","46,881.00","9,377,606.43","9,377,606.43","Health Care","BHJ0775","US1255231003","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.54","60.97","150,094.00","9,151,231.18","9,151,231.18","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","0.53","200.98","44,458.00","8,935,168.84","8,935,168.84","Financials","2965839","US12572Q1058","NASDAQ"
"BDX","BECTON DICKINSON","Equity","0.51","260.40","33,517.00","8,727,826.80","8,727,826.80","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","0.51","152.08","56,584.00","8,605,294.72","8,605,294.72","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","0.50","83.08","102,040.00","8,477,483.20","8,477,483.20","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.50","153.29","55,282.00","8,474,177.78","8,474,177.78","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"INTU","INTUIT INC","Equity","0.50","262.15","32,290.00","8,464,823.50","8,464,823.50","Information Technology","2459020","US4612021034","NASDAQ"
"COP","CONOCOPHILLIPS","Equity","0.49","60.34","137,967.00","8,324,928.78","8,324,928.78","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","0.48","265.50","30,579.00","8,118,724.50","8,118,724.50","Financials","BYV2325","US78409V1044","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.48","62.31","129,768.00","8,085,844.08","8,085,844.08","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","0.43","49.84","146,546.00","7,303,852.64","7,303,852.64","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"PLD","PROLOGIS REIT INC","Equity","0.43","92.40","78,357.00","7,240,186.80","7,240,186.80","Real Estate","B44WZD7","US74340W1036","New York Stock Exchange Inc."
"ZTS","ZOETIS INC CLASS A","Equity","0.42","121.63","59,290.00","7,211,442.70","7,211,442.70","Health Care","B95WG16","US98978V1035","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","0.42","494.21","14,393.00","7,113,164.53","7,113,164.53","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"ITW","ILLINOIS TOOL INC","Equity","0.41","175.11","40,161.00","7,032,592.71","7,032,592.71","Industrials","2457552","US4523081093","New York Stock Exchange Inc."
"VRTX","VERTEX PHARMACEUTICALS INC","Equity","0.41","220.06","31,911.00","7,022,334.66","7,022,334.66","Health Care","2931034","US92532F1003","NASDAQ"
"BIIB","BIOGEN INC","Equity","0.41","303.35","22,902.00","6,947,321.70","6,947,321.70","Health Care","2455965","US09062X1037","NASDAQ"
"CL","COLGATE-PALMOLIVE","Equity","0.40","67.68","101,198.00","6,849,080.64","6,849,080.64","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.40","108.35","62,862.00","6,811,097.70","6,811,097.70","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"CSX","CSX CORP","Equity","0.40","71.89","94,144.00","6,768,012.16","6,768,012.16","Industrials","2160753","US1264081035","NASDAQ"
"AMAT","APPLIED MATERIAL INC","Equity","0.39","58.29","114,690.00","6,685,280.10","6,685,280.10","Information Technology","2046552","US0382221051","NASDAQ"
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.38","93.43","69,579.00","6,500,765.97","6,500,765.97","Financials","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"NSC","NORFOLK SOUTHERN CORP","Equity","0.38","195.74","32,703.00","6,401,285.22","6,401,285.22","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"PSX","PHILLIPS","Equity","0.38","114.69","55,689.00","6,386,971.41","6,386,971.41","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"EW","EDWARDS LIFESCIENCES CORP","Equity","0.37","246.26","25,820.00","6,358,433.20","6,358,433.20","Health Care","2567116","US28176E1082","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.37","36.77","171,704.00","6,313,556.08","6,313,556.08","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"DE","DEERE","Equity","0.37","169.06","37,139.00","6,278,719.34","6,278,719.34","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
"SHW","SHERWIN WILLIAMS","Equity","0.35","584.86","10,309.00","6,029,321.74","6,029,321.74","Materials","2804211","US8243481061","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","0.35","186.95","32,154.00","6,011,190.30","6,011,190.30","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"AON","AON PLC CLASS A","Equity","0.35","204.27","29,337.00","5,992,668.99","5,992,668.99","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"EQIX","EQUINIX REIT INC","Equity","0.35","565.19","10,530.00","5,951,450.70","5,951,450.70","Real Estate","BVLZX12","US29444U7000","NASDAQ"
"WM","WASTE MANAGEMENT INC","Equity","0.35","112.94","52,669.00","5,948,436.86","5,948,436.86","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.34","136.26","42,732.00","5,822,662.32","5,822,662.32","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"HUM","HUMANA INC","Equity","0.34","341.94","16,771.00","5,734,675.74","5,734,675.74","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.34","52.89","108,002.00","5,712,225.78","5,712,225.78","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"TSLA","TESLA INC","Equity","0.33","331.29","16,680.00","5,525,917.20","5,525,917.20","Consumer Discretionary","B616C79","US88160R1014","NASDAQ"
"EL","ESTEE LAUDER INC CLASS A","Equity","0.32","195.96","27,465.00","5,382,041.40","5,382,041.40","Consumer Staples","2320524","US5184391044","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.31","73.14","72,585.00","5,308,866.90","5,308,866.90","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"ROST","ROSS STORES INC","Equity","0.31","116.33","45,280.00","5,267,422.40","5,267,422.40","Consumer Discretionary","2746711","US7782961038","NASDAQ"
"BBT","BB AND T CORP","Equity","0.31","54.92","95,120.00","5,223,990.40","5,223,990.40","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.30","48.96","105,108.00","5,146,087.68","5,146,087.68","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","0.30","1.00","5,141,000.00","5,141,000.00","5,141,000.00","Cash and/or Derivatives","-","US0669224778","-"
"SRE","SEMPRA ENERGY","Equity","0.30","147.56","34,087.00","5,029,877.72","5,029,877.72","Utilities","2138158","US8168511090","New York Stock Exchange Inc."
"MPC","MARATHON PETROLEUM CORP","Equity","0.30","61.47","81,733.00","5,024,127.51","5,024,127.51","Energy","B3K3L40","US56585A1025","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","0.29","97.10","51,449.00","4,995,697.90","4,995,697.90","Energy","2041364","US91913Y1001","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.29","19.73","252,952.00","4,990,742.96","4,990,742.96","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"ADSK","AUTODESK INC","Equity","0.29","180.18","27,267.00","4,912,968.06","4,912,968.06","Information Technology","2065159","US0527691069","NASDAQ"
"LRCX","LAM RESEARCH CORP","Equity","0.29","270.94","17,946.00","4,862,289.24","4,862,289.24","Information Technology","2502247","US5128071082","NASDAQ"
"ETN","EATON PLC","Equity","0.29","93.00","52,146.00","4,849,578.00","4,849,578.00","Industrials","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"MCO","MOODYS CORP","Equity","0.28","226.53","21,141.00","4,789,070.73","4,789,070.73","Financials","2252058","US6153691059","New York Stock Exchange Inc."
"HCA","HCA HEALTHCARE INC","Equity","0.28","139.93","33,867.00","4,739,009.31","4,739,009.31","Health Care","B4MGBG6","US40412C1018","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.28","93.92","49,910.00","4,687,547.20","4,687,547.20","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"ROP","ROPER TECHNOLOGIES INC","Equity","0.28","362.80","12,912.00","4,684,473.60","4,684,473.60","Industrials","2749602","US7766961061","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","0.27","112.02","40,870.00","4,578,257.40","4,578,257.40","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","0.26","136.84","32,328.00","4,423,763.52","4,423,763.52","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.26","64.15","68,569.00","4,398,701.35","4,398,701.35","Information Technology","2257019","US1924461023","NASDAQ"
"WELL","WELLTOWER INC","Equity","0.25","85.82","50,313.00","4,317,861.66","4,317,861.66","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.25","38.75","111,052.00","4,303,265.00","4,303,265.00","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.25","43.11","98,789.00","4,258,793.79","4,258,793.79","Industrials","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","0.24","53.48","74,924.00","4,006,935.52","4,006,935.52","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"IR","INGERSOLL RAND PLC","Equity","0.23","131.78","29,992.00","3,952,345.76","3,952,345.76","Industrials","B633030","IE00B6330302","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.23","61.56","63,939.00","3,936,084.84","3,936,084.84","Utilities","2614807","US98389B1008","NASDAQ"
"STI","SUNTRUST BANKS INC","Equity","0.23","71.14","55,116.00","3,920,952.24","3,920,952.24","Financials","2860990","US8679141031","New York Stock Exchange Inc."
"TEL","TE CONNECTIVITY LTD","Equity","0.23","93.41","41,708.00","3,895,944.28","3,895,944.28","Information Technology","B62B7C3","CH0102993182","New York Stock Exchange Inc."
"NEM","NEWMONT GOLDCORP CORP","Equity","0.23","38.18","101,792.00","3,886,418.56","3,886,418.56","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"PPG","PPG INDUSTRIES INC","Equity","0.22","129.19","29,336.00","3,789,917.84","3,789,917.84","Materials","2698470","US6935061076","New York Stock Exchange Inc."
"VFC","VF CORP","Equity","0.22","89.05","42,019.00","3,741,791.95","3,741,791.95","Consumer Discretionary","2928683","US9182041080","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.22","59.52","62,778.00","3,736,546.56","3,736,546.56","Utilities","2707677","US7445731067","New York Stock Exchange Inc."
"EA","ELECTRONIC ARTS INC","Equity","0.22","100.79","36,590.00","3,687,906.10","3,687,906.10","Communication","2310194","US2855121099","NASDAQ"
"OKE","ONEOK INC","Equity","0.22","71.43","51,270.00","3,662,216.10","3,662,216.10","Energy","2130109","US6826801036","New York Stock Exchange Inc."
"HPQ","HP INC","Equity","0.21","19.79","183,885.00","3,639,084.15","3,639,084.15","Information Technology","BYX4D52","US40434L1052","New York Stock Exchange Inc."
"TROW","T ROWE PRICE GROUP INC","Equity","0.21","123.71","29,246.00","3,618,022.66","3,618,022.66","Financials","2702337","US74144T1088","NASDAQ"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Equity","0.21","106.37","33,763.00","3,591,370.31","3,591,370.31","Consumer Discretionary","BYVMW06","US43300A2033","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","0.21","86.73","41,236.00","3,576,398.28","3,576,398.28","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"PCAR","PACCAR INC","Equity","0.21","82.16","43,003.00","3,533,126.48","3,533,126.48","Industrials","2665861","US6937181088","NASDAQ"
"WEC","WEC ENERGY GROUP INC","Equity","0.21","89.11","39,163.00","3,489,814.93","3,489,814.93","Utilities","BYY8XK8","US92939U1060","New York Stock Exchange Inc."
"STT","STATE STREET CORP","Equity","0.20","75.33","46,257.00","3,484,539.81","3,484,539.81","Financials","2842040","US8574771031","New York Stock Exchange Inc."
"INFO","IHS MARKIT LTD","Equity","0.20","72.90","47,308.00","3,448,753.20","3,448,753.20","Industrials","BD0Q558","BMG475671050","New York Stock Exchange Inc."
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.20","167.40","20,554.00","3,440,739.60","3,440,739.60","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc."
"CMI","CUMMINS INC","Equity","0.20","184.81","18,610.00","3,439,314.10","3,439,314.10","Industrials","2240202","US2310211063","New York Stock Exchange Inc."
"WMB","WILLIAMS INC","Equity","0.20","22.71","150,476.00","3,417,309.96","3,417,309.96","Energy","2967181","US9694571004","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","0.20","567.33","5,964.00","3,383,556.12","3,383,556.12","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.20","85.12","39,519.00","3,363,857.28","3,363,857.28","Financials","B1YLC43","US2547091080","New York Stock Exchange Inc."
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.20","237.54","14,043.00","3,335,774.22","3,335,774.22","Real Estate","BZ6TS23","US78410G1040","NASDAQ"
"ES","EVERSOURCE ENERGY","Equity","0.20","82.90","40,174.00","3,330,424.60","3,330,424.60","Utilities","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"MELI","MERCADOLIBRE INC","Equity","0.19","589.40","5,555.00","3,274,117.00","3,274,117.00","Consumer Discretionary","B23X1H3","US58733R1023","NASDAQ"
"PH","PARKER-HANNIFIN CORP","Equity","0.19","199.83","15,947.00","3,186,689.01","3,186,689.01","Industrials","2671501","US7010941042","New York Stock Exchange Inc."
"LULU","LULULEMON ATHLETICA INC","Equity","0.19","228.83","13,748.00","3,145,954.84","3,145,954.84","Consumer Discretionary","B23FN39","US5500211090","NASDAQ"
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.18","196.35","16,015.00","3,144,545.25","3,144,545.25","Financials","BDB6Q21","IE00BDB6Q211","NASDAQ"
"A","AGILENT TECHNOLOGIES INC","Equity","0.18","81.08","38,588.00","3,128,715.04","3,128,715.04","Health Care","2520153","US00846U1016","New York Stock Exchange Inc."
"EIX","EDISON INTERNATIONAL","Equity","0.18","69.83","44,457.00","3,104,432.31","3,104,432.31","Utilities","2829515","US2810201077","New York Stock Exchange Inc."
"CNC","CENTENE CORP","Equity","0.18","60.44","51,350.00","3,103,594.00","3,103,594.00","Health Care","2807061","US15135B1017","New York Stock Exchange Inc."
"IQV","IQVIA HOLDINGS INC","Equity","0.18","147.52","20,778.00","3,065,170.56","3,065,170.56","Health Care","BDR73G1","US46266C1053","New York Stock Exchange Inc."
"APTV","APTIV PLC","Equity","0.18","94.68","31,807.00","3,011,486.76","3,011,486.76","Consumer Discretionary","B783TY6","JE00B783TY65","New York Stock Exchange Inc."
"SWK","STANLEY BLACK & DECKER INC","Equity","0.18","158.80","18,839.00","2,991,633.20","2,991,633.20","Industrials","B3Q2FJ4","US8545021011","New York Stock Exchange Inc."
"CERN","CERNER CORP","Equity","0.17","72.11","39,726.00","2,864,641.86","2,864,641.86","Health Care","2185284","US1567821046","NASDAQ"
"ROK","ROCKWELL AUTOMATION INC","Equity","0.17","196.42","14,511.00","2,850,250.62","2,850,250.62","Industrials","2754060","US7739031091","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","0.17","124.97","22,757.00","2,843,942.29","2,843,942.29","Utilities","2280220","US2333311072","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.17","62.52","44,875.00","2,805,585.00","2,805,585.00","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"WY","WEYERHAEUSER REIT","Equity","0.16","29.75","92,485.00","2,751,428.75","2,751,428.75","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
"FITB","FIFTH THIRD BANCORP","Equity","0.16","30.29","90,217.00","2,732,672.93","2,732,672.93","Financials","2336747","US3167731005","NASDAQ"
"AWK","AMERICAN WATER WORKS INC","Equity","0.16","121.27","22,428.00","2,719,843.56","2,719,843.56","Utilities","B2R3PV1","US0304201033","New York Stock Exchange Inc."
"NTRS","NORTHERN TRUST CORP","Equity","0.16","107.69","25,243.00","2,718,418.67","2,718,418.67","Financials","2648668","US6658591044","NASDAQ"
"PXD","PIONEER NATURAL RESOURCE","Equity","0.16","130.18","20,751.00","2,701,365.18","2,701,365.18","Energy","2690830","US7237871071","New York Stock Exchange Inc."
"RMD","RESMED INC","Equity","0.16","150.83","17,838.00","2,690,505.54","2,690,505.54","Health Care","2732903","US7611521078","New York Stock Exchange Inc."
"RCL","ROYAL CARIBBEAN CRUISES LTD","Equity","0.16","121.30","22,114.00","2,682,428.20","2,682,428.20","Consumer Discretionary","2754907","LR0008862868","New York Stock Exchange Inc."
"IDXX","IDEXX LABORATORIES INC","Equity","0.16","250.70","10,688.00","2,679,481.60","2,679,481.60","Health Care","2459202","US45168D1046","NASDAQ"
"AMP","AMERIPRISE FINANCE INC","Equity","0.16","163.39","16,395.00","2,678,779.05","2,678,779.05","Financials","B0J7D57","US03076C1062","New York Stock Exchange Inc."
"BXP","BOSTON PROPERTIES REIT INC","Equity","0.16","139.01","19,190.00","2,667,601.90","2,667,601.90","Real Estate","2019479","US1011211018","New York Stock Exchange Inc."
"MTB","M&T BANK CORP","Equity","0.16","166.78","15,843.00","2,642,295.54","2,642,295.54","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"ALGN","ALIGN TECHNOLOGY INC","Equity","0.15","279.62","9,420.00","2,634,020.40","2,634,020.40","Health Care","2679204","US0162551016","NASDAQ"
"BLL","BALL CORP","Equity","0.15","66.55","39,159.00","2,606,031.45","2,606,031.45","Materials","2073022","US0584981064","New York Stock Exchange Inc."
"HPE","HEWLETT PACKARD ENTERPRISE","Equity","0.15","15.94","163,479.00","2,605,855.26","2,605,855.26","Information Technology","BYVYWS0","US42824C1099","New York Stock Exchange Inc."
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.15","169.43","15,276.00","2,588,212.68","2,588,212.68","Consumer Staples","2550161","US5797802064","New York Stock Exchange Inc."
"DXCM","DEXCOM INC","Equity","0.15","227.53","11,321.00","2,575,867.13","2,575,867.13","Health Care","B0796X4","US2521311074","NASDAQ"
"FAST","FASTENAL","Equity","0.15","35.79","71,192.00","2,547,961.68","2,547,961.68","Industrials","2332262","US3119001044","NASDAQ"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.15","108.04","23,316.00","2,519,060.64","2,519,060.64","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"CDNS","CADENCE DESIGN SYSTEMS INC","Equity","0.15","70.90","34,783.00","2,466,114.70","2,466,114.70","Information Technology","2302232","US1273871087","NASDAQ"
"KEY","KEYCORP","Equity","0.14","19.45","124,560.00","2,422,692.00","2,422,692.00","Financials","2490911","US4932671088","New York Stock Exchange Inc."
"BBY","BEST BUY INC","Equity","0.14","80.74","29,839.00","2,409,200.86","2,409,200.86","Consumer Discretionary","2094670","US0865161014","New York Stock Exchange Inc."
"CLX","CLOROX","Equity","0.14","148.95","15,546.00","2,315,576.70","2,315,576.70","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"CPRT","COPART INC","Equity","0.14","90.23","25,600.00","2,309,888.00","2,309,888.00","Industrials","2208073","US2172041061","NASDAQ"
"FRC","FIRST REPUBLIC BANK","Equity","0.14","110.39","20,800.00","2,296,112.00","2,296,112.00","Financials","B4WHY15","US33616C1009","New York Stock Exchange Inc."
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.13","162.31","14,082.00","2,285,649.42","2,285,649.42","Real Estate","2009210","US0152711091","New York Stock Exchange Inc."
"CBRE","CBRE GROUP INC CLASS A","Equity","0.13","57.56","39,671.00","2,283,462.76","2,283,462.76","Real Estate","B6WVMH3","US12504L1098","New York Stock Exchange Inc."
"MTD","METTLER TOLEDO INC","Equity","0.13","725.40","3,039.00","2,204,490.60","2,204,490.60","Health Care","2126249","US5926881054","New York Stock Exchange Inc."
"CMS","CMS ENERGY CORP","Equity","0.13","61.52","35,232.00","2,167,472.64","2,167,472.64","Utilities","2219224","US1258961002","New York Stock Exchange Inc."
